eventdate,ActionGeo_FullName,tone,ActionGeo_Lat,ActionGeo_Long
2014-08-06,"Blencoe, Iowa, United States",0.04786036036036033,41.9303,-96.0808
2014-08-06,"West Branch, Iowa, United States",0.9416195856873821,41.6714,-91.3465
2014-08-06,"Mercy Hospital, Iowa, United States",2.04571871367687,41.6641,-91.5285
2014-08-06,"Mason City, Iowa, United States",0.30678523639067307,43.1536,-93.201
2014-08-06,"Lee County, Iowa, United States",0.217391304347826,40.65,-91.4835
2014-08-06,"Appanoose County, Iowa, United States",0.65359477124183,40.7506,-92.8669
2014-08-06,"Sioux City, Iowa, United States",0.02852300095952355,42.5,-96.4003
2014-08-06,"Grundy County, Iowa, United States",2.46913580246914,42.4,-92.8002
2014-08-06,"Field Of Dreams, Iowa, United States",6.99523052464229,42.4978,-91.054
2014-08-06,"Forest City, Iowa, United States",0.2562038858829319,43.2625,-93.6372
2014-08-06,"Mount Pleasant, Iowa, United States",0.39606785962661634,40.9636,-91.5579
2014-08-05,"Des Moines, Iowa, United States",0.08085541161231664,41.6005,-93.6091
2014-08-05,"Cedar Falls, Iowa, United States",0.2122549526604523,42.5278,-92.4455
2014-08-05,"Polk County, Iowa, United States",1.730959446092975,41.6833,-93.5835
2014-08-05,"Kalona, Iowa, United States",5.29661016949153,41.4831,-91.706
2014-08-05,"Council Bluffs, Iowa, United States",0.2557536370261933,41.2619,-95.8608
2014-08-05,"Tama County, Iowa, United States",5.06329113924051,42.0667,-92.5335
2014-08-05,"Pleasant Grove, Iowa, United States",0.550964187327824,40.9675,-91.2879
2014-08-05,"Woodbury County, Iowa, United States",0.0,42.3833,-96.0336
2014-08-05,"Mount Pleasant, Iowa, United States",0.9539121641551906,40.9636,-91.5579
2014-08-05,"Davenport Municipal Airport, Iowa, United States",2.65339966832504,41.6111,-90.5857
2014-08-05,"Museum Of Natural History, Iowa, United States",0.7619047619047615,41.662,-91.5341
2014-08-05,"Orange City, Iowa, United States",0.0,43.0072,-96.0583
2014-08-05,"Musser Public Library, Iowa, United States",1.0638297872340425,41.4222,-91.0474
2014-08-05,"West High School, Iowa, United States",2.47093023255814,41.537,-90.6271
