city,state,lat,lon
MUSCATINE,IA,41.424473,-91.0432051
NASHUA,IA,42.9522221,-92.5386382
NEOLA,IA,41.4488816,-95.6155615
NEVADA,IA,42.0227184,-93.4523014
NEW HAMPTON,IA,43.0592724,-92.317864
NEW SHARON,IA,41.46666829999999,-92.64741289999999
NEWTON,IA,41.7033177,-93.05735330000002
NEW VIRGINIA,IA,41.1822168,-93.7288305
NORA SPRINGS,IA,43.1427466,-93.0043668
NORTH ENGLISH,IA,41.5138978,-92.0762891
NORTH LIBERTY,IA,41.739482,-91.60809739999999
NORTHWOOD,IA,43.4441245,-93.22103709999999
NORWALK,IA,41.47554600000001,-93.6788304
OAKLAND,IA,41.3094375,-95.3957997
OELWEIN,IA,42.6784949,-91.91195859999999
OGDEN,IA,42.0395595,-94.0320167
OKOBOJI,IA,43.3863521,-95.1483293
ONAWA,IA,42.0266548,-96.0972376
ORANGE CITY,IA,43.0072087,-96.0583523
OSAGE,IA,43.2841382,-92.8190838
OSCEOLA,IA,41.0342618,-93.766759
OSKALOOSA,IA,41.2916728,-92.6493595
OSSIAN,IA,43.145809,-91.7632108
OTHO,IA,42.4246934,-94.1502372
OTTUMWA,IA,41.01602930000001,-92.40830220000001
PACIFIC JUNCTION,IA,41.0187126,-95.8010851
PALO,IA,42.0660485,-91.79611179999999
PANORA,IA,41.6916535,-94.3630215
PARKERSBURG,IA,42.5774797,-92.78686340000002
PAULLINA,IA,42.9791479,-95.6880657
PELLA,IA,41.4080327,-92.91640500000001
PEOSTA,IA,42.4491375,-90.8504116
PERRY,IA,41.8385964,-94.10717969999999
PLEASANT HILL,IA,41.5873903,-93.5196138
PLEASANTVILLE,IA,41.3869578,-93.2682683
POCAHONTAS,IA,42.7355299,-94.66914670000001
POLK CITY,IA,41.7713764,-93.7129997
POMEROY,IA,42.5510885,-94.68386869999999
POSTVILLE,IA,43.084702,-91.5682015
PRAIRIE CITY,IA,41.599434,-93.23520529999999
PRESTON,IA,42.0502844,-90.3960275
PRIMGHAR,IA,43.0869215,-95.62723199999999
PRINCETON,IA,41.6748689,-90.34090959999999
RAYMOND,IA,42.468826,-92.22004849999999
RED OAK,IA,41.0170937,-95.2214477
REINBECK,IA,42.323597,-92.5993615
REMSEN,IA,42.8125933,-95.97335029999999
RICEVILLE,IA,43.3638571,-92.5540687
RIVERSIDE,IA,41.4797413,-91.5812759
ROBINS,IA,42.0711084,-91.6668444
ROCK RAPIDS,IA,43.4271945,-96.17585980000001
ROCK VALLEY,IA,43.2052594,-96.2950263
ROCKWELL,IA,42.985244,-93.1918688
ROCKWELL CITY,IA,42.3952576,-94.63386709999999
ROLFE,IA,42.8127501,-94.5269204
RUTHVEN,IA,43.1291322,-94.89915309999999
SAC CITY,IA,42.42220330000001,-94.9897109
ST. ANSGAR,IA,43.37848109999999,-92.92038869999999
ST. CHARLES,IA,41.2883257,-93.8093887
ST. LUCAS,IA,43.0665745,-91.9332498
SANBORN,IA,43.1816421,-95.6555674
SCHALLER,IA,42.4997048,-95.2930523
SCHLESWIG,IA,42.1652658,-95.4369432
SCRANTON,IA,42.0224844,-94.5452524
SERGEANT BLUFF,IA,42.40298019999999,-96.3588424
SHEFFIELD,IA,42.8944129,-93.21186879999999
SHELDON,IA,43.1812107,-95.8569539
SHELLSBURG,IA,42.0945385,-91.8693231
SHENANDOAH,IA,40.7667389,-95.3761506
SIBLEY,IA,43.3999861,-95.7516395
SIGOURNEY,IA,41.3333445,-92.20462549999999
SIOUX CENTER,IA,43.0797991,-96.1756935
SIOUX CITY,IA,42.4999942,-96.40030689999999
SIOUX RAPIDS,IA,42.8933093,-95.1511051
SLATER,IA,41.8778194,-93.6821269
SLOAN,IA,42.2337584,-96.2244905
SOLON,IA,41.8072344,-91.4940604
SPENCER,IA,43.1450748,-95.144318
SPIRIT LAKE,IA,43.4226192,-95.1022313
SPRINGVILLE,IA,42.0594453,-91.44267029999999
STANWOOD,IA,41.8930715,-91.1507132
STATE CENTER,IA,42.0166544,-93.16353649999999
STORM LAKE,IA,42.6430359,-95.2019399
STORY CITY,IA,42.1871601,-93.5955532
STRATFORD,IA,42.27136549999999,-93.92717209999999
STRAWBERRY POINT,IA,42.6835955,-91.5340348
STUART,IA,41.5034243,-94.3183715
SULLY,IA,41.5783288,-92.8449164
SUMNER,IA,42.8474801,-92.09156329999999
SUTHERLAND,IA,42.9741434,-95.4975058
SWEA CITY,IA,43.384403,-94.3149681
SWISHER,IA,41.8458406,-91.69323200000001
TIFFIN,IA,41.7069149,-91.6632783
TIPTON,IA,41.7697434,-91.1279349
TOLEDO,IA,41.9972134,-92.5835266
TRAER,IA,42.1936007,-92.4654688
TREYNOR,IA,41.2324965,-95.6130608
TRIPOLI,IA,42.8080363,-92.2582341
URBANA,IA,42.2241596,-91.8743444
URBANDALE,IA,41.6266555,-93.71216559999999
VAN METER,IA,41.53332229999999,-93.9543949
VICTOR,IA,41.7316675,-92.2979615
VILLISCA,IA,40.9296034,-94.9766416
VINTON,IA,42.1646477,-92.01856509999999
WALFORD,IA,41.8783375,-91.8346236
WALKER,IA,42.2866572,-91.7807299
WALL LAKE,IA,42.2710952,-95.093047
WALNUT,IA,41.47748989999999,-95.2219405
WAPELLO,IA,41.18141929999999,-91.1854273
WASHBURN,IA,42.4116556,-92.2674061
WASHINGTON,IA,41.30140770000001,-91.69164169999999
WATERLOO,IA,42.492786,-92.34257749999999
WAUKEE,IA,41.6119903,-93.8855768
WAUKON,IA,43.2694208,-91.47569500000002
WAVERLY,IA,42.7272032,-92.4668511
WEBSTER CITY,IA,42.4694321,-93.8159149
WELLMAN,IA,41.4641806,-91.8382273
WELLSBURG,IA,42.4328011,-92.9250864
WESLEY,IA,43.08861479999999,-93.9931467
WEST BEND,IA,42.9600447,-94.4450576
WEST BRANCH,IA,41.6714086,-91.3465521
WEST BURLINGTON,IA,40.8250386,-91.15653569999999
WEST DES MOINES,IA,41.5772115,-93.711332
WEST LIBERTY,IA,41.5700231,-91.2637695
WEST POINT,IA,40.71670390000001,-91.4501542
WEST UNION,IA,42.9627564,-91.8082167
WHEATLAND,IA,41.83169059999999,-90.8382014
WHITTEMORE,IA,43.06348089999999,-94.4221252
WILLIAMSBURG,IA,41.6611187,-92.0090673
WILTON,IA,41.5889154,-91.01681789999999
WINDSOR HEIGHTS,IA,41.6038268,-93.71051179999999
WINTERSET,IA,41.3308237,-94.0138393
WINTHROP,IA,42.4733189,-91.7343327
WOODBINE,IA,41.73400729999999,-95.7074104
WOODWARD,IA,41.857276,-93.9222218
ZWINGLE,IA,42.2977891,-90.6876307
