item,sum_sale_liters,sum_sale_dollars
SOUTHERN HOST WHISKEY LIQUEUR,56855.25,577486.28
CANADIAN MIST WHISKY,56790.6,608260.43
SMIRNOFF RASPBERRY VODKA,56661.0,885178.19
ABSOLUT MANDRIN,56469.0,1229668.41
CIROC LUXURY VODKA,56371.975,2061648.26
CLAN MACGREGOR SCOTCH,56259.5,552857.68
GRANGALA TRIPLE ORANGE LIQUEUR,55374.75,1214322.93
PARAMOUNT PEACH SCHNAPPS,55367.0,437955.31
CIROC RED BERRY,54159.425,1965837.3
TORADA TEQUILA GOLD,53225.0,529588.75
DEKUYPER BUTTERSHOTS SCHNAPPS,52768.524000000005,655434.62
CHRISTIAN BROS BRANDY-ROUND,51860.0,547898.42
JOSE CUERVO MANGO MARGARITA,51565.5,360601.8
HPNOTIQ,51404.825,1066931.79
SKINNYGIRL MARGARITA,51160.7,730619.06
DEKUYPER PEACHTREE SCHNAPPS,50241.0,535539.66
RONDIAZ RUM SPICED,49621.25,425325.0
KORBEL BRANDY,49580.75,536451.64
CANADIAN LTD WHISKY CONVENIENCE PACK,49464.0,415703.78
CROWN ROYAL BLACK,49197.625,1620882.46
CANADIAN WOODS CANADIAN WHY,49140.0,362624.08
ARROW BLACKBERRY FLAV BRANDY,48875.25,488815.73
CHI-CHI'S WHITE RUSSIAN,48422.5,261615.71
CABIN STILL STR BOURBON,48058.0,354273.18
GORDON'S VODKA -,47624.5,395479.74
BACARDI O,47467.75,725260.94
MEMBER'S MARK VODKA,46620.0,339847.2
FLEISCHMANN'S PREFERRED BL WHISKEY,46613.0,292177.41
E & J VS BRANDY ROUND,46573.0,486246.48
MIDNIGHT MOON APPLE PIE,45747.375,978705.88
SEAGRAMS SEVEN CROWN DARK HONEY,45383.298,726228.64
GORDON'S GIN LONDON DRY,45190.5,455215.75
EARLY TIMES 36 MO KY STR BOURBON,45072.75,500359.45
JACK DANIEL'S TENNESSEE FIRE,44940.25,1159891.68
JOHNNIE WALKER RED LABEL SCOTCH,44510.0,1157171.42
JOSE CUERVO LIGHT WILD BERRY MARGARITA,44418.5,309804.6
10 REPOSADO TEQUILA,44298.375,1299127.1
10 ULTIMATE MARGARITA,43975.75,356712.93
MR. BOSTON BLACKBERRY BRANDY,43903.5,385199.03
CHI-CHI'S SKINNY MARGARITA,43855.0,237201.7
THREE OLIVES GRAPE VODKA,43689.0,922136.0
UV PINK LEMONADE VODKA,43668.324,560442.3400000001
