STATEFP,PLACEFP,PLACENAME,city,population
19,25590,Emmetsburg city,EMMETSBURG,3811
19,25860,Estherville city,ESTHERVILLE,6011
19,25995,Evansdale city,EVANSDALE,4812
19,26175,Everly city,EVERLY,581
19,26265,Exira city,EXIRA,788
19,26355,Fairbank city,FAIRBANK,1117
19,26400,Fairfax city,FAIRFAX,2497
19,26445,Fairfield city,FAIRFIELD,9892
19,26760,Farley city,FARLEY,1691
19,26895,Farmington city,FARMINGTON,649
19,27165,Fayette city,FAYETTE,1491
19,28020,Floyd city,FLOYD,328
19,28245,Fonda city,FONDA,607
19,28290,Fontanelle city,FONTANELLE,636
19,28380,Forest City city,FOREST CITY,4018
19,28425,Fort Atkinson city,FORT ATKINSON,336
19,28515,Fort Dodge city,FORT DODGE,24649
19,28605,Fort Madison city,FORT MADISON,10717
19,28965,Fredericksburg city,FREDERICKSBURG,922
19,29910,Garnavillo city,GARNAVILLO,726
19,29955,Garner city,GARNER,3107
19,30225,George city,GEORGE,1055
19,30675,Gilbertville city,GILBERTVILLE,747
19,30945,Gilmore City city,GILMORE CITY,491
19,31035,Gladbrook city,GLADBROOK,890
19,31350,Glenwood city,GLENWOOD,5253
19,31395,Glidden city,GLIDDEN,1127
19,31530,Goldfield city,GOLDFIELD,608
19,31710,Gowrie city,GOWRIE,999
19,31800,Graettinger city,GRAETTINGER,811
19,31980,Grand Junction city,GRAND JUNCTION,789
19,32025,Grand Mound city,GRAND MOUND,617
19,32160,Granger city,GRANGER,1431
19,32745,Greene city,GREENE,1120
19,32790,Greenfield city,GREENFIELD,1883
19,33060,Grimes city,GRIMES,10676
19,33105,Grinnell city,GRINNELL,9141
19,33150,Griswold city,GRISWOLD,984
19,33195,Grundy Center city,GRUNDY CENTER,2714
19,33420,Guthrie Center city,GUTHRIE CENTER,1513
19,33465,Guttenberg city,GUTTENBERG,1861
19,33780,Hamburg city,HAMBURG,1082
19,33960,Hampton city,HAMPTON,4290
19,34500,Harlan city,HARLAN,5002
19,34590,Harpers Ferry city,HARPERS FERRY,319
19,34725,Hartley city,HARTLEY,1616
