weekStarting,Brand,Sum_sum_sale_liters,Sum_sum_sale_dollars
2012-02-26,Seagrams,7957.675,91765.14
2012-02-26,Smirnoff,7659.5,110353.6
2012-03-04,Absolut,4072.65,86761.7600000002
2012-03-04,Admiral Nelson,6395.2,66667.7499999999
2012-03-04,Bacardi,10520.857,147184.35
2012-03-04,Barton,6181.875,36820.53
2012-03-04,Black Velvet,13595.15,133703.04
2012-03-04,Canadian,16864.525,226037.17
2012-03-04,Captain Morgan,14700.975,235814.13
2012-03-04,Crown Royal,4849.425,137724.03
2012-03-04,Fireball,2185.75,35903.63
2012-03-04,Five,14171.975,90637.62
2012-03-04,Five Star,3691.175,24652.68
2012-03-04,Hawkeye,20013.5,126225.21
2012-03-04,Jack Daniels,7477.225,186714.56
2012-03-04,Jagermeister,5570.5,128058.97
2012-03-04,Jim Beam,4062.175,71402.75
2012-03-04,McCormick,255,2226.22
2012-03-04,Paramount,15832.75,112868.06
2012-03-04,Phillips,6351.1,40651
2012-03-04,Seagrams,7978.425,94136.7500000001
2012-03-04,Smirnoff,8846.625,130271.36
2012-03-11,Absolut,6139.825,132455
2012-03-11,Admiral Nelson,6085.15,63457.9899999999
2012-03-11,Bacardi,9876.148,137783.93
2012-03-11,Barton,8296.125,49448.6
2012-03-11,Black Velvet,15460.975,151886.08
2012-03-11,Canadian,16128.65,231826.38
2012-03-11,Captain Morgan,16151.575,264731.31
2012-03-11,Crown Royal,5473.325,153513.62
2012-03-11,Fireball,3063.875,50577.83
2012-03-11,Five,14769.975,94238.2800000001
2012-03-11,Five Star,3275.525,21778.9
2012-03-11,Hawkeye,19932.25,125449.87
2012-03-11,Jack Daniels,9967.85,242987.46
2012-03-11,Jagermeister,6171.625,141271.55
2012-03-11,Jim Beam,3910.975,69019.7800000001
2012-03-11,McCormick,262.75,2148.57
2012-03-11,Paramount,15248.125,108781.81
2012-03-11,Phillips,7023.75,44528.9
2012-03-11,Seagrams,8205.175,93835.71
2012-03-11,Smirnoff,7997.85,117375.97
2012-03-18,Absolut,4536.025,97023.8000000002
2012-03-18,Admiral Nelson,4479.75,47181.7799999999
2012-03-18,Bacardi,9979.302,136618.69
2012-03-18,Barton,8708.125,51793.81
2012-03-18,Black Velvet,13843.725,136912.99
2012-03-18,Canadian,17684.6,246403.74
2012-03-18,Captain Morgan,18632.625,301772.17
2012-03-18,Crown Royal,5769.85,160058.23
2012-03-18,Fireball,1861.75,30248.22
2012-03-18,Five,14579.075,92833.6900000001
2012-03-18,Five Star,3472.45,23086.71
2012-03-18,Hawkeye,22174,138988.18
2012-03-18,Jack Daniels,6779.1,167462.39
2012-03-18,Jagermeister,4667.05,107285.41
2012-03-18,Jim Beam,3683.275,64821.6400000001
2012-03-18,McCormick,285.75,2258.65
2012-03-18,Paramount,16229.125,114457.14
2012-03-18,Phillips,5509.875,35449.18
2012-03-18,Seagrams,9979.35,112534.98
2012-03-18,Smirnoff,7542.05,109635.07
2012-03-25,Absolut,4651.925,99816.4200000003
2012-03-25,Admiral Nelson,6092.675,63458.68
2012-03-25,Bacardi,11338.455,155398.41
2012-03-25,Barton,6525.375,39009.56
2012-03-25,Black Velvet,13943.775,136793.16
2012-03-25,Canadian,17100.275,255492.34
