weekStarting,Brand,Sum_sum_sale_liters,Sum_sum_sale_dollars,TweetCount
2013-03-17,Smirnoff,7975.225,118768.45,11
2013-03-24,Absolut,6082.8,132472.49,1
2013-03-24,Admiral Nelson,4458.975,46603.9999999999,1
2013-03-24,Crown Royal,5011.52500000001,141856.11,69
2013-03-24,Jack Daniels,7473.25,192097.4,16
2013-03-24,Jagermeister,3853.875,92450.97,36
2013-03-24,Seagrams,8632.2,98628.3700000001,4
2013-03-24,Smirnoff,8565.1,129174.77,17
2013-03-31,Absolut,5184.775,111686.57,1
2013-03-31,Admiral Nelson,3970.125,41909.73,1
2013-03-31,Crown Royal,7551.20000000001,210968.71,54
2013-03-31,Jack Daniels,6477.1,167096.15,40
2013-03-31,Jagermeister,3644.85,86704.94,8
2013-03-31,Seagrams,8448.675,98144.99,2
2013-03-31,Smirnoff,8874.425,127524.22,14
2013-04-07,Admiral Nelson,4338.25,45755.7,1
2013-04-07,Crown Royal,6632.97500000001,189532.98,71
2013-04-07,Jack Daniels,7501.35,192085.2,138
2013-04-07,Jagermeister,4133.675,98499.17,33
2013-04-07,Seagrams,15506.475,172137.04,2
2013-04-07,Smirnoff,15311,208134.03,20
2013-04-14,Crown Royal,6764.85000000001,188554.62,30
2013-04-14,Jack Daniels,7232.5,185155.29,118
2013-04-14,Jagermeister,3694.325,88428.3100000001,14
2013-04-14,Seagrams,8350.35,95825.6400000002,2
2013-04-14,Smirnoff,9175.6,132116.15,12
2013-04-21,Admiral Nelson,4958.875,51920.0899999999,2
2013-04-21,Crown Royal,8004.25000000001,222817.33,59
2013-04-21,Jack Daniels,7084.45,181266.05,45
2013-04-21,Jagermeister,3990.125,95209.9300000001,9
2013-04-21,Seagrams,8984.275,101879.9,4
2013-04-21,Smirnoff,11961.8,167265.55,16
2013-04-28,Absolut,5865.725,125230.35,1
2013-04-28,Admiral Nelson,5908.625,61603.9099999999,1
2013-04-28,Crown Royal,6439.05,200837.05,62
2013-04-28,Jack Daniels,11509.425,295153.88,141
2013-04-28,Jagermeister,4014.3,95685.22,15
2013-04-28,Seagrams,10549.225,120619.34,2
2013-04-28,Smirnoff,8602.25,126054.2,29
2013-05-05,Crown Royal,8242.95000000001,235506.35,61
2013-05-05,Jack Daniels,5120,135302.81,106
2013-05-05,Jagermeister,6901.725,163093.77,6
2013-05-05,Seagrams,7118.625,86263.56,2
2013-05-05,Smirnoff,7516.65,116710,9
2013-05-12,Admiral Nelson,5329.875,56068.8899999999,1
2013-05-12,Crown Royal,6383.82500000001,183085.67,33
2013-05-12,Jack Daniels,5194.075,137450.96,42
2013-05-12,Jagermeister,4502.9,107389.98,28
2013-05-12,Seagrams,7353.675,88383.1599999999,3
2013-05-12,Smirnoff,7736.675,120011.86,15
2013-05-19,Absolut,8999.875,188995.38,1
2013-05-19,Admiral Nelson,6344.125,67112.6499999999,1
2013-05-19,Crown Royal,5785.07500000001,167838.15,36
2013-05-19,Jack Daniels,5956.075,156775.73,57
2013-05-19,Jagermeister,3431.975,82614.57,5
2013-05-19,Seagrams,8167.85,98055.73,4
2013-05-19,Smirnoff,9872.45,150507.29,20
2013-05-26,Crown Royal,6714.97500000001,194608.8,27
2013-05-26,Jack Daniels,5449.8,143431.78,1
2013-05-26,Jagermeister,3940.475,94098.7300000001,12
2013-05-26,Seagrams,7000.525,84606.1300000001,2
2013-05-26,Smirnoff,8592.65,132959.22,12
2013-06-02,Crown Royal,6110.475,175612.87,49
2013-06-02,Jack Daniels,9987.125,254490.71,2
2013-06-02,Jagermeister,3665.075,87524.3700000001,15
