week,city,Sum_LitersPerCapita,Sum_salesPerCapita,Sum_keyCount
2012-02-05,DES MOINES,0.174508748157657,2.66225759520753,5
2012-02-05,DUBUQUE,0.173314597187027,2.25256858109832,2
2012-02-05,FAYETTE,0.152917505030181,2.57867203219316,1
2012-02-05,INDIANOLA,0.159959914657012,1.95218659080623,2
2012-02-05,IOWA CITY,0.178031191053624,2.56580423066559,5
2012-02-05,MOUNT PLEASANT,9.05431044705324e-002,1.06042333689079,0
2012-02-05,MOUNT VERNON,0.793379402585823,10.6220931787784,0
2012-02-05,ORANGE CITY,5.91723136495644e-002,0.872047434656341,0
2012-02-05,OSKALOOSA,0.156200999396916,1.94588265701732,5
2012-02-05,SIOUX CENTER,8.49752043961935e-002,1.11173569226645,1
2012-02-05,SIOUX CITY,0.113792999360066,1.55001835283322,2
