eventdate,ActionGeo_FullName,tone,ActionGeo_Lat,ActionGeo_Long,geo,city,eventweek
2012-01-15,"Marshalltown, Iowa, United States",3.1986531986532003,42.0494,-92.90799999999999,"42.0494,-92.90799999999999",MARSHALLTOWN,2012-01-15
2012-01-15,"Muscatine, Iowa, United States",1.6260162601626,41.4245,-91.0432,"41.4245,-91.0432",MUSCATINE,2012-01-15
2012-01-15,"Mason City, Iowa, United States",0.7663223328678125,43.1536,-93.20100000000001,"43.1536,-93.20100000000001",MASON CITY,2012-01-15
2012-01-16,"Fremont, Iowa, United States",1.0720518573921716,41.2125,-92.4355,"41.2125,-92.4355",EDDYVILLE,2012-01-15
2012-01-16,"Greenville, Iowa, United States",0.485175202156334,43.0166,-95.1461,"43.0166,-95.1461",SIOUX RAPIDS,2012-01-15
2012-01-16,"Blencoe, Iowa, United States",1.6966961315409297,41.9303,-96.0808,"41.9303,-96.0808",ONAWA,2012-01-15
2012-01-16,"Taylor Elementary School, Iowa, United States",1.382488479262675,41.97,-91.6785,"41.97,-91.6785",CEDAR RAPIDS,2012-01-15
2012-01-17,"Sheldon, Iowa, United States",3.1203007518797006,43.1811,-95.8561,"43.1811,-95.8561",SHELDON,2012-01-15
2012-01-17,"Bettendorf, Iowa, United States",0.4471316191212801,41.5245,-90.5157,"41.5245,-90.5157",BETTENDORF,2012-01-15
2012-01-17,"Cedar Rapids, Iowa, United States",0.28022163665307964,42.0083,-91.6441,"42.0083,-91.6441",CEDAR RAPIDS,2012-01-15
2012-01-17,"Westdale Mall, Iowa, United States",0.8093070308548299,41.9528,-91.7196,"41.9528,-91.7196",CEDAR RAPIDS,2012-01-15
2012-01-17,"Mason City, Iowa, United States",0.4005427389828016,43.1536,-93.20100000000001,"43.1536,-93.20100000000001",MASON CITY,2012-01-15
2012-01-18,"Crawfordsville, Iowa, United States",5.51724137931035,41.2146,-91.5373,"41.2146,-91.5373",WASHINGTON,2012-01-15
2012-01-18,"Mason City Police Department, Iowa, United States",0.23809523809523803,43.1511,-93.1966,"43.1511,-93.1966",MASON CITY,2012-01-15
2012-01-18,"Waterloo Police Department, Iowa, United States",1.5151515151515167,42.4992,-92.3318,"42.4992,-92.3318",WATERLOO,2012-01-15
2012-01-18,"Hiawatha, Iowa, United States",1.4179471529057608,42.0358,-91.6821,"42.0358,-91.6821",HIAWATHA,2012-01-15
2012-01-19,"Pleasant Hill, Iowa, United States",1.916058394160585,41.5839,-93.5199,"41.5839,-93.5199",PLEASANT HILL,2012-01-15
2012-01-19,"Fort Dodge, Iowa, United States",0.7240139237141857,42.4975,-94.16799999999999,"42.4975,-94.16799999999999",FORT DODGE,2012-01-15
2012-01-19,"Oelwein, Iowa, United States",4.2527030353373,42.6733,-91.9135,"42.6733,-91.9135",OELWEIN,2012-01-15
2012-01-20,"Mason City, Iowa, United States",0.19231665977115606,43.1536,-93.20100000000001,"43.1536,-93.20100000000001",MASON CITY,2012-01-15
2012-01-20,"Des Moines, Iowa, United States",0.7947258825786536,41.6005,-93.6091,"41.6005,-93.6091",DES MOINES,2012-01-15
2012-01-20,"Dubuque, Iowa, United States",1.4986376021798375,42.5006,-90.6646,"42.5006,-90.6646",DUBUQUE,2012-01-15
2012-01-20,"Lamoni, Iowa, United States",0.13792319908319076,40.6228,-93.9341,"40.6228,-93.9341",LAMONI,2012-01-15
2012-01-20,"Hiawatha, Iowa, United States",5.39325842696629,42.0358,-91.6821,"42.0358,-91.6821",HIAWATHA,2012-01-15
2012-01-21,"Somers, Iowa, United States",3.7567084078712005,42.3783,-94.43,"42.3783,-94.43",LOHRVILLE,2012-01-15
2012-01-21,"Dubuque, Iowa, United States",1.3537538427349172,42.5006,-90.6646,"42.5006,-90.6646",DUBUQUE,2012-01-15
2012-01-21,"Ankeny, Iowa, United States",2.105263157894735,41.7297,-93.6058,"41.7297,-93.6058",ANKENY,2012-01-15
2012-01-21,"Muscatine Police Department, Iowa, United States",2.1265284423179165,41.425,-91.0452,"41.425,-91.0452",MUSCATINE,2012-01-15
2012-01-21,"Blairstown, Iowa, United States",1.7758184104707366,41.9094,-92.0844,"41.9094,-92.0844",MARENGO,2012-01-15
2012-01-22,"Webster City, Iowa, United States",6.377551020408161,42.4694,-93.8161,"42.4694,-93.8161",WEBSTER CITY,2012-01-22
2012-01-24,"Ottumwa, Iowa, United States",2.8735632183908,41.02,-92.4113,"41.02,-92.4113",OTTUMWA,2012-01-22
2012-01-24,"Calhoun, Iowa, United States",0.43478260869565205,41.6317,-95.8953,"41.6317,-95.8953",MISSOURI VALLEY,2012-01-22
2012-01-24,"Black Hawk County, Iowa, United States",0.5208333333333325,42.4667,-92.3168,"42.4667,-92.3168",EVANSDALE,2012-01-22
2012-01-25,"Parkview Manor, Iowa, United States",3.16205533596838,41.475,-91.8341,"41.475,-91.8341",WELLMAN,2012-01-22
2012-01-25,"Louise, Iowa, United States",1.6064257028112463,42.36,-92.2988,"42.36,-92.2988",WASHBURN,2012-01-22
